code;protein
ADRA2A;Alpha-2A adrenergic receptor
AFAP1;Actin filament-associated protein 1
AFM;Afamin
AFP;Alpha-fetoprotein
AGBL2;Cytosolic carboxypeptidase 2
AGER;Advanced glycosylation end product-specific receptor
AGR2;Anterior gradient protein 2 homolog
AGR3;Anterior gradient protein 3
AGRN;Agrin
AGRP;Agouti-related protein
AGT;Angiotensinogen
AGXT;Serine--pyruvate aminotransferase
AHCY;Adenosylhomocysteinase
AHNAK;Neuroblast differentiation-associated protein AHNAK
AHNAK2;Protein AHNAK2
AHSA1;Activator of 90 kDa heat shock protein ATPase homolog 1
AHSG;Alpha-2-HS-glycoprotein
AHSP;Alpha-hemoglobin-stabilizing protein
"AIDA;Axin interactor, dorsalization-associated protein"
AIF1;Allograft inflammatory factor 1
AIF1L;Allograft inflammatory factor 1-like
"AIFM1;Apoptosis-inducing factor 1, mitochondrial"
AK1;Adenylate kinase isoenzyme 1
"AK2;Adenylate kinase 2, mitochondrial"
AKAP12;A-kinase anchor protein 12
AKR1B1;Aldo-keto reductase family 1 member B1
AKR1B10;Aldo-keto reductase family 1 member B10
AKR1C4;Aldo-keto reductase family 1 member C4
AKR7L;Aflatoxin B1 aldehyde reductase member 4
AKT1S1;Proline-rich AKT1 substrate 1
AKT2;RAC-beta serine/threonine-protein kinase
AKT3;RAC-gamma serine/threonine-protein kinase
ALCAM;CD166 antigen
ALDH1A1;Retinal dehydrogenase 1
"ALDH2;Aldehyde dehydrogenase, mitochondrial"
"ALDH3A1;Aldehyde dehydrogenase, dimeric NADP-preferring"
"ALDH5A1;Succinate-semialdehyde dehydrogenase, mitochondrial"
ALMS1;Alstrom syndrome protein 1
ALPI;Intestinal-type alkaline phosphatase
"ALPP;Alkaline phosphatase, placental type"
AMBN;Ameloblastin
AMBP;Protein AMBP
AMDHD2;N-acetylglucosamine-6-phosphate deacetylase
AMFR;E3 ubiquitin-protein ligase AMFR
AMIGO1;Amphoterin-induced protein 1
AMIGO2;Amphoterin-induced protein 2
AMN;Protein amnionless
AMOT;Angiomotin
AMOTL2;Angiomotin-like protein 2
AMPD3;AMP deaminase 3
AMY1A_AMY1B_AMY1C;Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C
AMY2A;Pancreatic alpha-amylase
AMY2B;Alpha-amylase 2B
ANG;Angiogenin
ANGPT1;Angiopoietin-1
ANGPT2;Angiopoietin-2
ANGPTL1;Angiopoietin-related protein 1
ANGPTL2;Angiopoietin-related protein 2
ANGPTL3;Angiopoietin-related protein 3
ANGPTL4;Angiopoietin-related protein 4
ANGPTL7;Angiopoietin-related protein 7
ANK2;Ankyrin-2
ANKMY2;Ankyrin repeat and MYND domain-containing protein 2
ANKRA2;Ankyrin repeat family A protein 2
ANKRD54;Ankyrin repeat domain-containing protein 54
ANP32C;Acidic leucine-rich nuclear phosphoprotein 32 family member C
ANPEP;Aminopeptidase N
ANXA1;Annexin A1
ANXA10;Annexin A10
ANXA11;Annexin A11
ANXA2;Annexin A2
ANXA3;Annexin A3
ANXA4;Annexin A4
ANXA5;Annexin A5
AOC1;Amiloride-sensitive amine oxidase [copper-containing]
AOC3;Membrane primary amine oxidase
AP1G2;AP-1 complex subunit gamma-like 2
AP2B1;AP-2 complex subunit beta
AP3B1;AP-3 complex subunit beta-1
AP3S2;AP-3 complex subunit sigma-2
APBB1IP;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
APCS;Serum amyloid P-component
APEX1;DNA-(apurinic or apyrimidinic site) endonuclease
APLP1;Amyloid-like protein 1
APOA1;Apolipoprotein A-I
APOA2;Apolipoprotein A-II
APOA4;Apolipoprotein A-IV
APOB;Apolipoprotein B-100
APOBR;Apolipoprotein B receptor
APOC1;Apolipoprotein C-I
APOD;Apolipoprotein D
APOE;Apolipoprotein E
APOF;Apolipoprotein F
APOH;Beta-2-glycoprotein 1
APOL1;Apolipoprotein L1
APOM;Apolipoprotein M
APP;Amyloid-beta precursor protein
APPL2;DCC-interacting protein 13-beta
APRT;Adenine phosphoribosyltransferase
ARAF;Serine/threonine-protein kinase A-Raf
AREG;Amphiregulin
ARF6;ADP-ribosylation factor 6
ARFIP1;Arfaptin-1
ARG1;Arginase-1
"ARG2;Arginase-2, mitochondrial"
ARHGAP1;Rho GTPase-activating protein 1
ARHGAP25;Rho GTPase-activating protein 25
ARHGAP30;Rho GTPase-activating protein 30
ARHGAP45;Rho GTPase-activating protein 45
ARHGAP5;Rho GTPase-activating protein 5
ARHGEF1;Rho guanine nucleotide exchange factor 1
ARHGEF10;Rho guanine nucleotide exchange factor 10
ARHGEF12;Rho guanine nucleotide exchange factor 12
ARHGEF5;Rho guanine nucleotide exchange factor 5
ARID3A;AT-rich interactive domain-containing protein 3A
ARID4B;AT-rich interactive domain-containing protein 4B
ARL13B;ADP-ribosylation factor-like protein 13B
ARL2BP;ADP-ribosylation factor-like protein 2-binding protein
ARMCX2;Armadillo repeat-containing X-linked protein 2
ARNT;Aryl hydrocarbon receptor nuclear translocator
ARNTL;Aryl hydrocarbon receptor nuclear translocator-like protein 1
ARSA;Arylsulfatase A
ARSB;Arylsulfatase B
ART3;Ecto-ADP-ribosyltransferase 3
ART5;Ecto-ADP-ribosyltransferase 5
ARTN;Artemin
ASAH1;Acid ceramidase
ASAH2;Neutral ceramidase
ASGR1;Asialoglycoprotein receptor 1
ASGR2;Asialoglycoprotein receptor 2
ASPN;Asporin
ASPSCR1;Tether containing UBX domain for GLUT4
ASRGL1;Isoaspartyl peptidase/L-asparaginase
ASS1;Argininosuccinate synthase
ATF2;Cyclic AMP-dependent transcription factor ATF-2
ATF4;Cyclic AMP-dependent transcription factor ATF-4
ATG16L1;Autophagy-related protein 16-1
ATG4A;Cysteine protease ATG4A
ATOX1;Copper transport protein ATOX1
ATP1B1;Sodium/potassium-transporting ATPase subunit beta-1
ATP1B2;Sodium/potassium-transporting ATPase subunit beta-2
ATP1B3;Sodium/potassium-transporting ATPase subunit beta-3
ATP1B4;Protein ATP1B4
ATP2B4;Plasma membrane calcium-transporting ATPase 4
"ATP5F1D;ATP synthase subunit delta, mitochondrial"
"ATP5IF1;ATPase inhibitor, mitochondrial"
"ATP5PO;ATP synthase subunit O, mitochondrial"
ATP6AP2;Renin receptor
ATP6V1D;V-type proton ATPase subunit D
ATP6V1F;V-type proton ATPase subunit F
ATP6V1G1;V-type proton ATPase subunit G 1
ATP6V1G2;V-type proton ATPase subunit G 2
ATRAID;All-trans retinoic acid-induced differentiation factor
"ATRN;Attractin, Isoform 2"
ATXN10;Ataxin-10
ATXN2;Ataxin-2
ATXN2L;Ataxin-2-like protein
ATXN3;Ataxin-3
AXIN1;Axin-1
AXL;Tyrosine-protein kinase receptor UFO
AZI2;5-azacytidine-induced protein 2
AZU1;Azurocidin
B2M;Beta-2-microglobulin
B3GAT3;Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
"B3GNT7;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
"B4GALT1;Beta-1,4-galactosyltransferase 1"
"B4GAT1;Beta-1,4-glucuronyltransferase 1"
BABAM1;BRISC and BRCA1-A complex member 1
BACH1;Transcription regulator protein BACH1
BAG3;BAG family molecular chaperone regulator 3
BAG4;BAG family molecular chaperone regulator 4
BAG6;Large proline-rich protein BAG6
BAIAP2;Brain-specific angiogenesis inhibitor 1-associated protein 2
BAMBI;BMP and activin membrane-bound inhibitor homolog
BANK1;B-cell scaffold protein with ankyrin repeats
BAP18;Chromatin complexes subunit BAP18
BATF;Basic leucine zipper transcriptional factor ATF-like
BAX;Apoptosis regulator BAX
BCAM;Basal cell adhesion molecule
BCAN;Brevican core protein
"BCAT1;Branched-chain-amino-acid aminotransferase, cytosolic"
"BCAT2;Branched-chain-amino-acid aminotransferase, mitochondrial"
BCHE;Cholinesterase
BCL2;Apoptosis regulator Bcl-2
BCL2L1;Bcl-2-like protein 1
"BCL2L11;Bcl-2-like protein 11, Isoform BimL "
BCL2L15;Bcl-2-like protein 15
BCL7A;B-cell CLL/lymphoma 7 protein family member A
BCL7B;B-cell CLL/lymphoma 7 protein family member B
BCR;Breakpoint cluster region protein
BDNF;Brain-derived neurotrophic factor
BECN1;Beclin-1
BEX3;Protein BEX3
BGLAP;Osteocalcin
BGN;Biglycan
BHLHE40;Class E basic helix-loop-helix protein 40
BHMT2;S-methylmethionine--homocysteine S-methyltransferase BHMT2
BID;BH3-interacting domain death agonist
BIN2;Bridging integrator 2
BIRC2;Baculoviral IAP repeat-containing protein 2
BLMH;Bleomycin hydrolase
BLNK;B-cell linker protein
BLOC1S2;Biogenesis of lysosome-related organelles complex 1 subunit 2
BLOC1S3;Biogenesis of lysosome-related organelles complex 1 subunit 3
BLVRB;Flavin reductase
BMP10;Bone morphogenetic protein 10
BMP4;Bone morphogenetic protein 4
BMP6;Bone morphogenetic protein 6
BMPER;BMP-binding endothelial regulator protein
BNIP2;BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
BNIP3L;BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
BOC;Brother of CDO
BOLA1;BolA-like protein 1
BOLA2_BOLA2B;BolA-like protein 2
BPIFA2;BPI fold-containing family A member 2
BPIFB1;BPI fold-containing family B member 1
BPIFB2;BPI fold-containing family B member 2
BRAP;BRCA1-associated protein
BRD1;Bromodomain-containing protein 1
BRD2;Bromodomain-containing protein 2
BRD3;Bromodomain-containing protein 3
BRDT;Bromodomain testis-specific protein
BRK1;Protein BRICK1
BRME1;Break repair meiotic recombinase recruitment factor 1
BRSK2;Serine/threonine-protein kinase BRSK2
BSG;Basigin
BSND;Barttin
BST1;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
BST2;Bone marrow stromal antigen 2
BTC;Probetacellulin
BTD;Biotinidase
BTLA;B- and T-lymphocyte attenuator
BTN1A1;Butyrophilin subfamily 1 member A1
BTN2A1;Butyrophilin subfamily 2 member A1
BTN3A2;Butyrophilin subfamily 3 member A2
BTNL10;Butyrophilin-like protein 10
C19orf12;Protein C19orf12
C1GALT1C1;C1GALT1-specific chaperone 1
C1QA;Complement C1q subcomponent subunit A
"C1QBP;Complement component 1 Q subcomponent-binding protein, mitochondrial"
C1QL2;Complement C1q-like protein 2
C1QTNF1;Complement C1q tumor necrosis factor-related protein 1
C1QTNF5;Complement C1q tumor necrosis factor-related protein 5
C1QTNF6;Complement C1q tumor necrosis factor-related protein 6
C1QTNF9;Complement C1q and tumor necrosis factor-related protein 9A
C1R;Complement C1r subcomponent
C1RL;Complement C1r subcomponent-like protein
C1S;Complement C1s subcomponent
C2;Complement C2
C2CD2L;Phospholipid transfer protein C2CD2L
C2orf69;UPF0565 protein C2orf69
C3;Complement C3
C4BPB;C4b-binding protein beta chain
C5;Complement C5
C7;Complement component C7
C7orf50;Uncharacterized protein C7orf50
C8B;Complement component C8 beta chain
C9;Complement component C9
C9orf40;Uncharacterized protein C9orf40
CA1;Carbonic anhydrase 1
CA11;Carbonic anhydrase-related protein 11
CA12;Carbonic anhydrase 12
CA13;Carbonic anhydrase 13
CA14;Carbonic anhydrase 14
CA2;Carbonic anhydrase 2
CA3;Carbonic anhydrase 3
CA4;Carbonic anhydrase 4
"CA5A;Carbonic anhydrase 5A, mitochondrial"
CA6;Carbonic anhydrase 6
CA7;Carbonic anhydrase 7
CA8;Carbonic anhydrase-related protein
CA9;Carbonic anhydrase 9
CABP2;Calcium-binding protein 2
CACNA1C;Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1H;Voltage-dependent T-type calcium channel subunit alpha-1H
CACNB1;Voltage-dependent L-type calcium channel subunit beta-1
CACNB3;Voltage-dependent L-type calcium channel subunit beta-3
CACYBP;Calcyclin-binding protein
CADPS;Calcium-dependent secretion activator 1
CALB1;Calbindin
CALB2;Calretinin
CALCA;Calcitonin
CALCB;Calcitonin gene-related peptide 2
CALCOCO1;Calcium-binding and coiled-coil domain-containing protein 1
CALCOCO2;Calcium-binding and coiled-coil domain-containing protein 2
CALY;Neuron-specific vesicular protein calcyon
CAMKK1;Calcium/calmodulin-dependent protein kinase kinase 1
CAMLG;Guided entry of tail-anchored proteins factor CAMLG
CAMSAP1;Calmodulin-regulated spectrin-associated protein 1
CANT1;Soluble calcium-activated nucleotidase 1
CAPG;Macrophage-capping protein
CAPN3;Calpain-3
CAPS;Calcyphosin
CARHSP1;Calcium-regulated heat-stable protein 1
CASC3;Protein CASC3
CASP1;Caspase-1
CASP10;Caspase-10
CASP2;Caspase-2
CASP3;Caspase-3
CASP4;Caspase-4
CASP7;Caspase-7
CASP8;Caspase-8
CASP9;Caspase-9
CASQ2;Calsequestrin-2
CAT;Catalase
CBLIF;Cobalamin binding intrinsic factor
CBLN1;Cerebellin-1
CBLN4;Cerebellin-4
CBS;Cystathionine beta-synthase
CBX2;Chromobox protein homolog 2
CC2D1A;Coiled-coil and C2 domain-containing protein 1A
CCAR2;Cell cycle and apoptosis regulator protein 2
CCDC134;Coiled-coil domain-containing protein 134
CCDC28A;Coiled-coil domain-containing protein 28A
CCDC50;Coiled-coil domain-containing protein 50
CCDC80;Coiled-coil domain-containing protein 80
CCER2;Coiled-coil domain-containing glutamate-rich protein 2
CCL11;Eotaxin
CCL13;C-C motif chemokine 13
CCL14;C-C motif chemokine 14
CCL15;C-C motif chemokine 15
CCL16;C-C motif chemokine 16
CCL17;C-C motif chemokine 17
CCL18;C-C motif chemokine 18
CCL19;C-C motif chemokine 19
CCL2;C-C motif chemokine 2
CCL20;C-C motif chemokine 20
CCL21;C-C motif chemokine 21
CCL22;C-C motif chemokine 22
CCL23;C-C motif chemokine 23
CCL24;C-C motif chemokine 24
CCL25;C-C motif chemokine 25
CCL26;C-C motif chemokine 26
CCL27;C-C motif chemokine 27
CCL28;C-C motif chemokine 28
CCL3;C-C motif chemokine 3
CCL4;C-C motif chemokine 4
CCL5;C-C motif chemokine 5
CCL7;C-C motif chemokine 7
CCL8;C-C motif chemokine 8
CCN1;CCN family member 1
CCN2;CCN family member 2
CCN3;CCN family member 3
CCN4;CCN family member 4
CCN5;CCN family member 5
CCND2;G1/S-specific cyclin-D2
CCNE1;G1/S-specific cyclin-E1
CCS;Copper chaperone for superoxide dismutase
CCT5;T-complex protein 1 subunit epsilon
CD101;Immunoglobulin superfamily member 2
CD109;CD109 antigen
CD14;Monocyte differentiation antigen CD14
CD160;CD160 antigen
CD163;Scavenger receptor cysteine-rich type 1 protein M130
CD164;Sialomucin core protein 24
CD164L2;CD164 sialomucin-like 2 protein
CD177;CD177 antigen
CD1C;T-cell surface glycoprotein CD1c
CD2;T-cell surface antigen CD2
CD200;OX-2 membrane glycoprotein
CD200R1;Cell surface glycoprotein CD200 receptor 1
CD207;C-type lectin domain family 4 member K
CD209;CD209 antigen
CD22;B-cell receptor CD22
CD226;CD226 antigen
CD244;Natural killer cell receptor 2B4
CD248;Endosialin
CD27;CD27 antigen
CD274;Programmed cell death 1 ligand 1
CD276;CD276 antigen
CD28;T-cell-specific surface glycoprotein CD28
CD2AP;CD2-associated protein
CD300A;CMRF35-like molecule 8
CD300C;CMRF35-like molecule 6
CD300E;CMRF35-like molecule 2
CD300LF;CMRF35-like molecule 1
CD300LG;CMRF35-like molecule 9
CD302;CD302 antigen
CD33;Myeloid cell surface antigen CD33
CD34;Hematopoietic progenitor cell antigen CD34
CD36;Platelet glycoprotein 4
CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
CD3D;T-cell surface glycoprotein CD3 delta chain
CD3E;T-cell surface glycoprotein CD3 epsilon chain
CD3G;T-cell surface glycoprotein CD3 gamma chain
CD4;T-cell surface glycoprotein CD4
CD40;Tumor necrosis factor receptor superfamily member 5
CD40LG;CD40 ligand
CD46;Membrane cofactor protein
CD48;CD48 antigen
CD5;T-cell surface glycoprotein CD5
CD55;Complement decay-accelerating factor
CD58;Lymphocyte function-associated antigen 3
CD59;CD59 glycoprotein
CD5L;CD5 antigen-like
CD6;T-cell differentiation antigen CD6
CD63;CD63 antigen
CD69;Early activation antigen CD69
CD7;T-cell antigen CD7
CD70;CD70 antigen
CD72;B-cell differentiation antigen CD72
CD74;HLA class II histocompatibility antigen gamma chain
CD79B;B-cell antigen receptor complex-associated protein beta chain
CD80;T-lymphocyte activation antigen CD80
CD82;CD82 antigen
CD83;CD83 antigen
CD84;SLAM family member 5
CD86;T-lymphocyte activation antigen CD86
CD8A;T-cell surface glycoprotein CD8 alpha chain
CD93;Complement component C1q receptor
CD99;CD99 antigen
CD99L2;CD99 antigen-like protein 2
CDA;Cytidine deaminase
CDAN1;Codanin-1
CDC123;Cell division cycle protein 123 homolog
CDC25A;M-phase inducer phosphatase 1
CDC26;Anaphase-promoting complex subunit CDC26
CDC27;Cell division cycle protein 27 homolog
CDC37;Hsp90 co-chaperone Cdc37
CDC42BPB;Serine/threonine-protein kinase MRCK beta
CDCP1;CUB domain-containing protein 1
CDH1;Cadherin-1
CDH15;Cadherin-15
CDH17;Cadherin-17
CDH2;Cadherin-2
CDH22;Cadherin-22
CDH23;Cadherin-23
CDH3;Cadherin-3
CDH4;Cadherin-4
CDH5;Cadherin-5
CDH6;Cadherin-6
CDHR1;Cadherin-related family member 1
CDHR2;Cadherin-related family member 2
CDHR5;Cadherin-related family member 5
CDK1;Cyclin-dependent kinase 1
CDK5RAP3;CDK5 regulatory subunit-associated protein 3
CDKL5;Cyclin-dependent kinase-like 5
CDKN1A;Cyclin-dependent kinase inhibitor 1
CDKN2D;Cyclin-dependent kinase 4 inhibitor D
CDNF;Cerebral dopamine neurotrophic factor
CDON;Cell adhesion molecule-related/down-regulated by oncogenes
CDSN;Corneodesmosin
CEACAM1;Carcinoembryonic antigen-related cell adhesion molecule 1
CEACAM16;Carcinoembryonic antigen-related cell adhesion molecule 16
CEACAM18;Carcinoembryonic antigen-related cell adhesion molecule 18
CEACAM19;Carcinoembryonic antigen-related cell adhesion molecule 19
CEACAM20;Carcinoembryonic antigen-related cell adhesion molecule 20
CEACAM21;Carcinoembryonic antigen-related cell adhesion molecule 21
CEACAM3;Carcinoembryonic antigen-related cell adhesion molecule 3
CEACAM5;Carcinoembryonic antigen-related cell adhesion molecule 5
CEACAM6;Carcinoembryonic antigen-related cell adhesion molecule 6
CEACAM8;Carcinoembryonic antigen-related cell adhesion molecule 8
CEBPA;CCAAT/enhancer-binding protein alpha
CEBPB;CCAAT/enhancer-binding protein beta
CELA2A;Chymotrypsin-like elastase family member 2A
CELA3A;Chymotrypsin-like elastase family member 3A
CELSR2;Cadherin EGF LAG seven-pass G-type receptor 2
CEMIP2;Cell surface hyaluronidase
CEND1;Cell cycle exit and neuronal differentiation protein 1
CENPF;Centromere protein F
CENPJ;Centromere protein J
CEP112;Centrosomal protein of 112 kDa
CEP152;Centrosomal protein of 152 kDa
CEP164;Centrosomal protein of 164 kDa
CEP170;Centrosomal protein of 170 kDa
CEP20;Centrosomal protein 20
CEP290;Centrosomal protein of 290 kDa
CEP350;Centrosome-associated protein 350
CEP43;Centrosomal protein 43
CEP85;Centrosomal protein of 85 kDa
CERT;Ceramide transfer protein
CES1;Liver carboxylesterase 1
CES2;Cocaine esterase
CES3;Carboxylesterase 3
CETN2;Centrin-2
CETN3;Centrin-3
CFB;Complement factor B
CFC1;Cryptic protein
CFD;Complement factor D
CFH;Complement factor H
CFHR2;Complement factor H-related protein 2
CFHR4;Complement factor H-related protein 4
CFHR5;Complement factor H-related protein 5
CFI;Complement factor I
CFP;Properdin
CGA;Glycoprotein hormones alpha chain
CGB3_CGB5_CGB8;Choriogonadotropin subunit beta 3
CGN;Cingulin
CGREF1;Cell growth regulator with EF hand domain protein 1
CHAC2;Glutathione-specific gamma-glutamylcyclotransferase 2
CHAD;Chondroadherin
"CHCHD10;Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial"
CHCHD6;MICOS complex subunit MIC25
CHEK2;Serine/threonine-protein kinase Chk2
CHGA;Chromogranin-A
CHGB;Secretogranin-1
CHI3L1;Chitinase-3-like protein 1
CHIT1;Chitotriosidase-1
CHL1;Neural cell adhesion molecule L1-like protein
CHM;Rab proteins geranylgeranyltransferase component A 1
CHMP1A;Charged multivesicular body protein 1a
CHMP6;Charged multivesicular body protein 6
CHP1;Calcineurin B homologous protein 1
CHRDL1;Chordin-like protein 1
CHRDL2;Chordin-like protein 2
CHRM1;Muscarinic acetylcholine receptor M1
CIAPIN1;Anamorsin
CILP;Cartilage intermediate layer protein 1
CINP;Cyclin-dependent kinase 2-interacting protein
CIRBP;Cold-inducible RNA-binding protein
CIT;Citron Rho-interacting kinase
CKAP4;Cytoskeleton-associated protein 4
CKB;Creatine kinase B-type
"CKMT1A_CKMT1B;Creatine kinase U-type, mitochondrial"
CLASP1;CLIP-associating protein 1
CLC;Galectin-10
CLEC10A;C-type lectin domain family 10 member A
CLEC11A;C-type lectin domain family 11 member A
CLEC12A;C-type lectin domain family 12 member A
CLEC14A;C-type lectin domain family 14 member A
CLEC1A;C-type lectin domain family 1 member A
CLEC1B;C-type lectin domain family 1 member B
CLEC2L;C-type lectin domain family 2 member L
CLEC3B;Tetranectin
CLEC4A;C-type lectin domain family 4 member A
CLEC4C;C-type lectin domain family 4 member C
CLEC4D;C-type lectin domain family 4 member D
CLEC4G;C-type lectin domain family 4 member G
CLEC4M;C-type lectin domain family 4 member M
CLEC5A;C-type lectin domain family 5 member A
CLEC6A;C-type lectin domain family 6 member A
CLEC7A;C-type lectin domain family 7 member A
CLGN;Calmegin
CLIC5;Chloride intracellular channel protein 5
CLINT1;Clathrin interactor 1
CLIP2;CAP-Gly domain-containing linker protein 2
CLMP;CXADR-like membrane protein
CLNS1A;Methylosome subunit pICln
"CLPP;ATP-dependent Clp protease proteolytic subunit, mitochondrial"
CLPS;Colipase
CLSPN;Claspin
CLSTN1;Calsyntenin-1
CLSTN2;Calsyntenin-2
CLSTN3;Calsyntenin-3
CLTA;Clathrin light chain A
CLU;Clusterin
CLUL1;Clusterin-like protein 1
CMC1;COX assembly mitochondrial protein homolog
CMIP;C-Maf-inducing protein
CNDP1;Beta-Ala-His dipeptidase
CNGB3;Cyclic nucleotide-gated cation channel beta-3
"CNP;2',3'-cyclic-nucleotide 3'-phosphodiesterase"
CNPY2;Protein canopy homolog 2
CNPY4;Protein canopy homolog 4
CNST;Consortin
CNTF;Ciliary neurotrophic factor
CNTN1;Contactin-1
CNTN2;Contactin-2
CNTN3;Contactin-3
CNTN4;Contactin-4
CNTN5;Contactin-5
CNTNAP2;Contactin-associated protein-like 2
CNTNAP4;Contactin-associated protein-like 4
COCH;Cochlin
COL15A1;Collagen alpha-1(XV) chain
COL18A1;Collagen alpha-1(XVIII) chain
COL1A1;Collagen alpha-1(I) chain
COL24A1;Collagen alpha-1(XXIV) chain
COL28A1;Collagen alpha-1(XXVIII) chain
COL2A1;Collagen alpha-1(II) chain
COL3A1;Collagen alpha-1(III) chain
COL4A1;Collagen alpha-1(IV) chain
COL4A4;Collagen alpha-4(IV) chain
COL5A1;Collagen alpha-1(V) chain
COL6A3;Collagen alpha-3(VI) chain
COL9A1;Collagen alpha-1(IX) chain
COL9A2;Collagen alpha-2(IX) chain
COLEC12;Collectin-12
COMMD1;COMM domain-containing protein 1
COMMD9;COMM domain-containing protein 9
COMP;Cartilage oligomeric matrix protein
COMT;Catechol O-methyltransferase
COPB2;Coatomer subunit beta'
COPE;Coatomer subunit epsilon
"COQ7;5-demethoxyubiquinone hydroxylase, mitochondrial"
CORO1A;Coronin-1A
CORO6;Coronin-6
"COX5B;Cytochrome c oxidase subunit 5B, mitochondrial"
COX6B1;Cytochrome c oxidase subunit 6B1
CPA1;Carboxypeptidase A1
CPA2;Carboxypeptidase A2
CPA4;Carboxypeptidase A4
CPB1;Carboxypeptidase B
CPB2;Carboxypeptidase B2
CPE;Carboxypeptidase E
CPLX2;Complexin-2
CPM;Carboxypeptidase M
"CPOX;Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial"
CPPED1;Serine/threonine-protein phosphatase CPPED1
CPQ;Carboxypeptidase Q
CPTP;Ceramide-1-phosphate transfer protein
CPVL;Probable serine carboxypeptidase CPVL
CPXM1;Probable carboxypeptidase X1
CPXM2;Inactive carboxypeptidase-like protein X2
CR1;Complement receptor type 1
CR2;Complement receptor type 2
CRACR2A;EF-hand calcium-binding domain-containing protein 4B
CRADD;Death domain-containing protein CRADD
CREB3;Cyclic AMP-responsive element-binding protein 3
CREBZF;CREB/ATF bZIP transcription factor
CREG1;Protein CREG1
CRELD1;Protein disulfide isomerase CRELD1
CRELD2;Protein disulfide isomerase CRELD2
CRH;Corticoliberin
CRHBP;Corticotropin-releasing factor-binding protein
